path,category,size,last_commit_date,referenced_by,verdict,notes
audit-results/,dumps,312K,2026-04-08,run_bootstrap_all.py,kill,Old investigation snapshots; producers also killed
audit-results/bootstrap-all/,dumps,part,2026-04-08,run_bootstrap_all.py,kill,
audit-results/data-population/,dumps,part,2026-04-05,,kill,
audit-results/investigations/,dumps,part,2026-04-17,,kill,Empty
audit-results/materialized-results/,dumps,part,2026-04-17,materialize_real_results.py,kill,Empty; producer killed
audit-results/signal-source-compatibility/,dumps,part,2026-04-05,,kill,
audit-results/source-probes/,dumps,part,2026-03-25,,kill,
docs/br_acc_colombia_followup_2026-03-30.md,doc-investigation,8K,2026-03-30,,kill,One-off research
docs/candidate_dataset_probe_2026-03-25.md,doc-investigation,24K,2026-03-28,,kill,Superseded by audit JSON
docs/candidate_dataset_shortlist_2026-03-25.md,doc-investigation,4K,2026-03-28,,kill,Superseded by audit JSON
docs/colombia_connection_opportunities_2026-03-14.md,doc-investigation,16K,2026-03-16,,kill,
docs/colombia_corruption_functionality_report_2026-03-13.md,doc-investigation,12K,2026-03-16,,kill,
docs/colombia_corruption_functionality_report_2026-03-14.md,doc-investigation,4K,2026-03-15,,kill,
docs/colombia_corruption_practices_research_2026-03-19.md,doc-investigation,8K,2026-03-28,,kill,
docs/current_case_coverage_review_2026-03-26.md,doc-investigation,16K,2026-03-28,,kill,
docs/datos_abiertos_research_2026-03-18.md,doc-investigation,16K,2026-03-28,,kill,
docs/education_credential_probe_2026-03-27.md,doc-investigation,4K,2026-03-28,,kill,
docs/live_pattern_findings_2026-03-30.md,doc-investigation,8K,2026-03-30,,kill,
docs/payroll_pensions_benchmarks_2026-03-21.md,doc-investigation,12K,2026-03-28,,kill,
docs/periodismo_datos_corrupcion_metodos_2026-03-30.md,doc-investigation,20K,2026-03-30,,kill,
docs/real_case_validation_2026-03-19.md,doc-investigation,4K,2026-03-28,,kill,
docs/real_pattern_coverage_2026-03-21.md,doc-investigation,20K,2026-03-28,scripts/scan_real_pattern_coverage.py,kill,Producer killed
docs/repo_implementation_gap_audit_2026-03-27.md,doc-investigation,8K,2026-03-28,,kill,
docs/san_jose_network_research_2026-03-22.md,doc-investigation,16K,2026-03-28,,kill,
docs/secop_archive_probe_2026-03-27.md,doc-investigation,4K,2026-03-28,,kill,
docs/transmilenio_information_request_fields_2026-03-28.csv,doc-investigation,8K,2026-03-28,,kill,
docs/transmilenio_information_request_package_2026-03-28.md,doc-investigation,8K,2026-03-28,,kill,
docs/transmilenio_microdesfalco_research_2026-03-28.md,doc-investigation,8K,2026-03-28,,kill,
docs/ungrd_drilldown_2026-03-27.md,doc-investigation,12K,2026-03-28,,kill,
scripts/deep_discovery.py,script-discovery,4K,2026-03-16,,kill,Discovery spike
scripts/deep_discovery2.py,script-discovery,4K,2026-03-16,,kill,Discovery spike
scripts/hidden_discovery.py,script-discovery,4K,2026-03-16,,kill,Discovery spike
scripts/semantic_discovery.py,script-discovery,4K,2026-03-16,,kill,Discovery spike
