path,verdict,useless,reason,action,bytes,lines,parse_status,sha256_12
.dockerignore,KEEP,NO,Repository-level operational configuration.,Keep; update if pipeline paths change.,280,33,text-read,b33a3ff2e3ca
.env.example,KEEP,NO,Repository-level operational configuration.,Keep; update if pipeline paths change.,1167,53,text-read,b1d60fe01ecd
.github/ISSUE_TEMPLATE/abuse_report.yml,KEEP,NO,GitHub workflow/template/release automation.,Keep unless process is intentionally simplified.,1166,42,valid-yaml,87ea5132f3df
.github/ISSUE_TEMPLATE/config.yml,KEEP,NO,GitHub workflow/template/release automation.,Keep unless process is intentionally simplified.,249,5,valid-yaml,00c31577c907
.github/ISSUE_TEMPLATE/data_correction.yml,KEEP,NO,GitHub workflow/template/release automation.,Keep unless process is intentionally simplified.,1242,42,valid-yaml,0b35c8adf461
.github/ISSUE_TEMPLATE/privacy_request.yml,KEEP,NO,GitHub workflow/template/release automation.,Keep unless process is intentionally simplified.,1178,42,valid-yaml,d69f14281b5a
.github/pull_request_template.md,KEEP,NO,GitHub workflow/template/release automation.,Keep unless process is intentionally simplified.,1339,56,text-read,e25e8753c3bd
.github/release-drafter.yml,KEEP,NO,GitHub workflow/template/release automation.,Keep unless process is intentionally simplified.,1477,80,valid-yaml,845f56039240
.github/release.yml,KEEP,NO,GitHub workflow/template/release automation.,Keep unless process is intentionally simplified.,628,32,valid-yaml,f001bb57c625
.github/workflows/auto-label.yml,KEEP,NO,GitHub workflow/template/release automation.,Keep unless process is intentionally simplified.,3328,96,valid-yaml,6a7e8a530991
.github/workflows/ci.yml,KEEP,NO,GitHub workflow/template/release automation.,Keep unless process is intentionally simplified.,3948,159,valid-yaml,88bcd25a4245
.github/workflows/deploy.yml,FIX,NO,Deploy workflow path conflicts with infra deploy script default path.,Unify /opt/bracc vs /opt/coacc.,606,22,valid-yaml,b6e27e111e3a
.github/workflows/docker-ci.yml,KEEP,NO,GitHub workflow/template/release automation.,Keep unless process is intentionally simplified.,2959,90,valid-yaml,309a854ae7ef
.github/workflows/publish-release.yml,KEEP,NO,GitHub workflow/template/release automation.,Keep unless process is intentionally simplified.,5952,193,valid-yaml,d591bcd30d90
.github/workflows/release-drafter.yml,KEEP,NO,GitHub workflow/template/release automation.,Keep unless process is intentionally simplified.,381,20,valid-yaml,ab3ab28ad4cb
.github/workflows/release-label-policy.yml,KEEP,NO,GitHub workflow/template/release automation.,Keep unless process is intentionally simplified.,1319,43,valid-yaml,f743a0294493
.github/workflows/security.yml,FIX,NO,"Security workflow is useful, but current repo fails two of its gates.",Fix compliance docs and public privacy query violations.,3816,144,valid-yaml,b5bcf56d6d33
.gitignore,KEEP,NO,Repository-level operational configuration.,Keep; update if pipeline paths change.,1469,108,text-read,378be6aa0bcb
.gitleaksignore,KEEP,NO,Repository-level operational configuration.,Keep; update if pipeline paths change.,503,8,text-read,88da4fed6bc0
ABUSE_RESPONSE.md,KEEP,NO,Governance/legal public-surface document.,Keep; update alongside compliance gate.,1647,54,text-read,14611d74c98b
CHANGELOG.md,KEEP,NO,Governance/legal public-surface document.,Keep; update alongside compliance gate.,3413,84,text-read,44a8e20ec353
CONTRIBUTING.md,KEEP,NO,Governance/legal public-surface document.,Keep; update alongside compliance gate.,1413,50,text-read,5fd70b1f81a6
DISCLAIMER.md,KEEP,NO,Governance/legal public-surface document.,Keep; update alongside compliance gate.,987,33,text-read,5268baeed077
ETHICS.md,KEEP,NO,Governance/legal public-surface document.,Keep; update alongside compliance gate.,1737,51,text-read,95b2c1b04e9c
LGPD.md,KEEP,NO,Governance/legal public-surface document.,Keep; update alongside compliance gate.,1994,54,text-read,1320d007ac3d
LICENSE,KEEP,NO,Governance/legal public-surface document.,Keep; update alongside compliance gate.,34523,661,text-read,0d96a4ff68ad
Makefile,KEEP,NO,Repository-level operational configuration.,Keep; update if pipeline paths change.,3830,118,text-read,463e5a0c82b6
PRIVACY.md,KEEP,NO,Governance/legal public-surface document.,Keep; update alongside compliance gate.,1190,32,text-read,3d5fdc71bcc7
README.md,FIX,NO,"Primary repo documentation, but compliance gate says it lacks the expected Legal & Ethics section.",Add/update legal section or change the gate.,8511,201,text-read,ed424411744d
SECURITY.md,KEEP,NO,Governance/legal public-surface document.,Keep; update alongside compliance gate.,917,33,text-read,499ae7880059
TERMS.md,KEEP,NO,Governance/legal public-surface document.,Keep; update alongside compliance gate.,2011,56,text-read,fae648a98ec2
api/Dockerfile,FIX,NO,API image omits repo config files needed by signal registry at runtime.,Copy/mount config or make path configurable.,514,20,text-read,3cd09e7e93df
api/pyproject.toml,KEEP,NO,"Active API source, test, config, lockfile, data, or template.",Keep; normal maintenance only.,1371,61,text-read,2f3f98a9c8b2
